               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10286,            0.053781,            0.038489,                   0,                   0,                   0,                   0,             0.11555,            0.035807,            0.038129,              0.0973,              0.0003,              0.0003
                   1,            0.089905,            0.055732,            0.033419,                   0,                   0,                   0,                   0,             0.11385,            0.036297,            0.036536,            0.093693,          0.00069307,          0.00069307
                   2,            0.099317,            0.054151,            0.033849,                   0,                   0,                   0,                   0,             0.11039,            0.038586,            0.034369,            0.090078,           0.0010782,           0.0010782
                   3,             0.10077,            0.054996,            0.033232,          0.00030104,           0.0063264,          0.00018045,          2.7602e-05,             0.10371,            0.043045,            0.030823,            0.086455,           0.0014555,           0.0014555
                   4,            0.094696,            0.063316,            0.026988,          0.00085941,           0.0059908,          0.00045574,           8.002e-05,            0.099284,            0.046755,            0.028467,            0.082825,           0.0018248,           0.0018248
                   5,             0.10038,            0.059027,            0.028892,           0.0030377,            0.023287,           0.0019828,          0.00035215,            0.099758,            0.048658,            0.025534,            0.079186,           0.0021861,           0.0021861
                   6,            0.081139,            0.052027,            0.019355,             0.27713,            0.031076,           0.0091582,           0.0018938,            0.098089,            0.048306,            0.022552,             0.07554,           0.0025396,           0.0025396
                   7,            0.096734,            0.057387,            0.022804,             0.53442,            0.042298,            0.014713,           0.0029554,            0.095791,            0.044802,            0.020117,            0.071885,           0.0028852,           0.0028852
                   8,            0.095442,            0.054197,             0.02307,             0.57067,            0.056864,            0.023142,           0.0047277,            0.091506,            0.047153,            0.019116,            0.068223,           0.0032228,           0.0032228
                   9,            0.084675,             0.04382,            0.015564,             0.55408,            0.090442,             0.03931,           0.0083825,            0.097224,            0.039192,            0.018774,            0.064553,           0.0035525,           0.0035525
                  10,            0.067512,            0.042867,            0.012163,             0.80762,            0.089671,            0.040308,           0.0082825,            0.097259,            0.039526,             0.01908,            0.060874,           0.0038743,           0.0038743
                  11,            0.075157,            0.048877,            0.012111,             0.57332,             0.10277,            0.050391,            0.011799,            0.088661,            0.049873,            0.019278,            0.057188,           0.0041882,           0.0041882
                  12,            0.076598,            0.052202,            0.015391,             0.56386,             0.12873,            0.053206,            0.012658,            0.081434,            0.049989,            0.019017,            0.053494,           0.0044941,           0.0044941
                  13,            0.070303,            0.051134,            0.010691,             0.55121,             0.13001,            0.040705,           0.0099566,            0.098001,            0.051967,            0.018913,            0.049792,           0.0047922,           0.0047922
                  14,            0.071235,            0.047548,            0.014386,             0.79356,             0.13104,             0.03918,            0.010168,            0.088098,            0.047849,            0.018634,            0.046082,           0.0050823,           0.0050823
                  15,            0.091059,            0.050782,             0.01501,             0.79926,             0.14793,            0.043374,            0.010972,            0.084226,            0.044748,            0.018633,            0.042364,           0.0053644,           0.0053644
                  16,            0.087058,            0.054427,            0.019185,             0.79457,             0.12136,              0.0347,           0.0079265,             0.09083,            0.048551,            0.018121,            0.038639,           0.0056387,           0.0056387
                  17,            0.063293,            0.047942,            0.010652,             0.80049,             0.14491,            0.045339,            0.011406,            0.090455,            0.042187,             0.01772,            0.034905,           0.0059051,           0.0059051
                  18,            0.076924,            0.047061,            0.013587,             0.76878,             0.11382,            0.017735,           0.0049684,             0.10586,            0.037467,            0.017523,            0.031163,           0.0061635,           0.0061635
                  19,            0.083147,            0.043677,            0.014277,             0.80964,             0.11716,            0.051966,            0.013697,            0.098008,            0.034685,            0.017119,            0.027414,            0.006414,            0.006414
                  20,            0.084736,            0.038465,            0.013666,              0.7752,            0.058325,            0.022459,           0.0051141,             0.10619,            0.030006,            0.015627,            0.023657,           0.0066566,           0.0066566
                  21,              0.0784,            0.037687,            0.010986,            0.013603,             0.13067,            0.010142,           0.0024455,             0.10046,            0.032022,            0.015184,            0.019891,           0.0068913,           0.0068913
                  22,            0.084569,            0.031851,             0.02161,             0.78186,            0.078109,            0.028747,           0.0062727,            0.095923,            0.032833,            0.015588,            0.016118,            0.007118,            0.007118
                  23,            0.079845,            0.045091,            0.012332,             0.78559,            0.080678,             0.03154,           0.0069377,            0.094818,            0.033204,            0.015623,            0.012337,           0.0073369,           0.0073369
                  24,            0.087206,            0.043635,            0.016112,             0.86304,             0.15863,             0.12334,            0.034325,            0.086858,            0.034711,            0.015596,           0.0085478,           0.0075478,           0.0075478
                  25,            0.087632,              0.0399,            0.015446,             0.78348,             0.10946,            0.031451,           0.0078859,            0.088966,            0.040577,            0.015344,            0.007525,            0.007525,            0.007525
                  26,            0.078896,            0.035765,            0.016449,             0.77801,             0.10457,            0.033235,            0.007872,            0.090612,            0.033916,            0.015575,            0.007525,            0.007525,            0.007525
                  27,            0.075733,            0.042414,             0.01328,             0.83294,             0.14491,            0.086035,            0.022359,            0.082261,            0.035254,            0.015538,            0.007426,            0.007426,            0.007426
                  28,            0.060923,            0.037427,            0.014142,             0.51019,             0.02261,           0.0048535,           0.0011051,              0.1093,             0.04037,            0.015848,            0.007327,            0.007327,            0.007327
                  29,            0.096371,            0.038195,            0.012145,             0.81203,             0.15108,            0.066928,            0.018595,            0.093417,            0.035263,            0.016231,            0.007228,            0.007228,            0.007228
                  30,            0.070531,            0.041746,            0.012682,             0.52732,              0.0537,             0.01921,           0.0040507,            0.093162,            0.034443,              0.0164,            0.007129,            0.007129,            0.007129
                  31,            0.095237,            0.035987,            0.015859,             0.54404,            0.088386,            0.038024,           0.0078758,            0.091206,            0.035263,            0.016129,             0.00703,             0.00703,             0.00703
                  32,            0.076002,            0.038806,            0.015411,             0.84341,             0.14106,            0.093785,            0.024732,            0.087618,            0.034547,            0.015799,            0.006931,            0.006931,            0.006931
                  33,            0.062353,            0.033144,             0.01214,             0.80689,            0.084275,            0.046408,            0.010025,             0.09493,             0.03663,            0.015822,            0.006832,            0.006832,            0.006832
                  34,             0.07107,            0.039855,            0.011028,             0.52511,            0.057855,            0.019592,           0.0055233,             0.09238,            0.036066,            0.015749,            0.006733,            0.006733,            0.006733
                  35,            0.076011,            0.044634,            0.015139,             0.56177,             0.13509,            0.065627,            0.019295,            0.081882,            0.039176,             0.01588,            0.006634,            0.006634,            0.006634
                  36,            0.067879,            0.049459,            0.014859,              0.5281,            0.060123,             0.02322,           0.0067571,            0.087288,             0.04251,            0.015601,            0.006535,            0.006535,            0.006535
                  37,             0.08164,            0.050837,            0.014494,             0.57878,             0.15616,            0.086625,            0.029512,            0.080434,            0.041094,            0.014885,            0.006436,            0.006436,            0.006436
                  38,            0.056581,            0.051584,            0.010758,             0.62262,             0.15755,              0.1336,            0.050107,            0.083244,            0.044809,            0.014407,            0.006337,            0.006337,            0.006337
                  39,            0.079551,            0.055266,            0.014813,             0.91518,             0.17497,             0.18154,             0.05767,            0.065961,            0.046387,            0.013787,            0.006238,            0.006238,            0.006238
                  40,            0.055082,            0.053007,            0.013602,             0.27324,             0.19946,             0.02241,           0.0072927,            0.083158,            0.043447,            0.013892,            0.006139,            0.006139,            0.006139
                  41,            0.069383,            0.045999,            0.013775,             0.85055,             0.17626,             0.12401,            0.042962,             0.06303,            0.045214,            0.013628,             0.00604,             0.00604,             0.00604
                  42,            0.053262,            0.075918,            0.011738,             0.83045,              0.1778,             0.10856,            0.036928,            0.061894,            0.045524,            0.013194,            0.005941,            0.005941,            0.005941
                  43,            0.050925,            0.052685,            0.012315,             0.84907,             0.17857,             0.12764,            0.042919,            0.065815,            0.046127,            0.012937,            0.005842,            0.005842,            0.005842
                  44,            0.053677,            0.055586,            0.013678,              0.8643,              0.1927,              0.1477,            0.051969,             0.06534,            0.044581,            0.013084,            0.005743,            0.005743,            0.005743
                  45,            0.051148,            0.043814,            0.016092,             0.82598,              0.1665,            0.088171,            0.020531,            0.076829,              0.0463,            0.013164,            0.005644,            0.005644,            0.005644
                  46,            0.060636,            0.048127,            0.012947,              0.8938,             0.19347,             0.17186,            0.065559,            0.060959,            0.043433,            0.013473,            0.005545,            0.005545,            0.005545
                  47,            0.054756,            0.051981,            0.014268,             0.85874,             0.16906,             0.12336,            0.041273,            0.069404,            0.043463,            0.013538,            0.005446,            0.005446,            0.005446
                  48,            0.054194,             0.04582,            0.014713,             0.91923,             0.19836,             0.20344,            0.086455,             0.06053,            0.042764,            0.013316,            0.005347,            0.005347,            0.005347
                  49,             0.05698,            0.047582,            0.014243,             0.89285,             0.18165,             0.17466,            0.065388,            0.066012,            0.044631,            0.013252,            0.005248,            0.005248,            0.005248
                  50,            0.072592,            0.052633,            0.016962,              0.9219,             0.19624,              0.2004,            0.065432,            0.056628,            0.043454,            0.013127,            0.005149,            0.005149,            0.005149
                  51,            0.056323,            0.062669,            0.013374,             0.90761,             0.19331,              0.1892,            0.072442,            0.061941,            0.042905,            0.013111,             0.00505,             0.00505,             0.00505
                  52,            0.067161,            0.044449,            0.015422,             0.90069,             0.16598,             0.17819,            0.066521,            0.060352,            0.043123,            0.013149,            0.004951,            0.004951,            0.004951
                  53,            0.052273,            0.048593,            0.012012,             0.91153,             0.20735,             0.18741,            0.066565,            0.063974,            0.042876,            0.013195,            0.004852,            0.004852,            0.004852
                  54,            0.045517,            0.045938,            0.010204,             0.88373,             0.16461,             0.15003,            0.048303,            0.068131,            0.042474,            0.013242,            0.004753,            0.004753,            0.004753
                  55,            0.062588,            0.046101,            0.013083,             0.93271,             0.21043,             0.22061,            0.092332,            0.058096,              0.0426,            0.013256,            0.004654,            0.004654,            0.004654
                  56,            0.041436,            0.053648,            0.010564,             0.86445,             0.14157,             0.12087,            0.035866,            0.073719,            0.042905,            0.013269,            0.004555,            0.004555,            0.004555
                  57,             0.04706,             0.05415,            0.010941,             0.94543,             0.21968,             0.23204,             0.10285,            0.055384,            0.042382,             0.01333,            0.004456,            0.004456,            0.004456
                  58,            0.045709,            0.061678,            0.011069,             0.89956,             0.20508,             0.17827,            0.072407,            0.059499,            0.042919,             0.01328,            0.004357,            0.004357,            0.004357
                  59,             0.04654,            0.046392,            0.011287,             0.88125,             0.20683,             0.16298,            0.069319,            0.062545,            0.043304,            0.013103,            0.004258,            0.004258,            0.004258
                  60,            0.038907,            0.049509,           0.0090418,             0.90492,             0.19527,             0.18796,            0.070396,            0.061786,            0.041932,            0.013057,            0.004159,            0.004159,            0.004159
                  61,            0.039072,            0.048188,            0.010495,             0.91291,             0.20838,             0.20369,            0.097085,             0.06386,            0.041039,            0.013048,             0.00406,             0.00406,             0.00406
                  62,            0.050901,             0.05529,            0.010918,             0.94295,             0.21711,             0.22859,             0.10498,            0.057194,            0.041701,            0.013038,            0.003961,            0.003961,            0.003961
                  63,            0.039623,            0.044991,            0.012034,             0.91466,             0.21614,             0.20325,            0.092757,            0.065834,            0.041069,            0.013032,            0.003862,            0.003862,            0.003862
                  64,            0.053049,            0.048669,            0.010881,             0.95837,             0.22559,             0.24001,              0.1113,            0.054893,            0.040989,            0.013019,            0.003763,            0.003763,            0.003763
                  65,            0.058378,            0.054426,            0.012263,             0.91914,             0.20909,             0.20218,            0.079267,            0.061661,            0.041524,              0.0129,            0.003664,            0.003664,            0.003664
                  66,            0.040188,            0.056974,            0.011699,             0.95966,             0.22405,             0.23706,             0.10066,             0.05379,            0.040559,             0.01282,            0.003565,            0.003565,            0.003565
                  67,            0.050645,            0.059839,            0.011045,             0.93524,             0.22045,             0.21487,            0.092003,            0.058069,            0.040272,            0.012781,            0.003466,            0.003466,            0.003466
                  68,            0.060023,            0.058224,            0.013754,             0.95944,             0.22456,             0.23954,             0.11486,             0.04999,            0.039667,             0.01284,            0.003367,            0.003367,            0.003367
                  69,            0.044551,            0.051173,            0.010957,             0.90843,             0.21248,             0.18747,            0.078092,            0.053509,            0.040694,            0.012794,            0.003268,            0.003268,            0.003268
                  70,            0.038344,            0.042465,            0.011363,             0.95078,             0.22251,             0.23343,             0.10789,            0.050364,            0.039506,             0.01281,            0.003169,            0.003169,            0.003169
                  71,            0.036409,            0.046196,            0.010718,             0.94775,             0.22328,             0.23008,             0.10112,            0.049953,            0.039589,            0.012841,             0.00307,             0.00307,             0.00307
                  72,            0.034334,            0.044869,            0.011397,             0.96196,             0.22479,             0.24125,             0.11037,            0.049766,            0.039326,            0.012882,            0.002971,            0.002971,            0.002971
                  73,            0.054943,            0.057176,            0.010716,             0.96236,              0.2279,             0.24694,             0.12722,            0.045707,            0.038829,            0.012901,            0.002872,            0.002872,            0.002872
                  74,            0.029392,            0.058318,            0.010719,             0.96008,             0.22448,             0.24495,             0.11813,            0.049648,            0.039093,            0.012892,            0.002773,            0.002773,            0.002773
                  75,            0.042069,            0.053946,            0.012041,             0.95526,             0.22713,             0.24331,             0.12089,            0.048356,            0.038814,            0.012939,            0.002674,            0.002674,            0.002674
                  76,            0.030615,            0.050399,            0.010411,             0.95335,              0.2229,             0.23941,             0.10779,             0.05326,            0.039089,            0.012933,            0.002575,            0.002575,            0.002575
                  77,            0.056827,            0.045387,             0.01205,             0.96216,             0.22758,             0.24928,             0.12671,            0.047864,            0.038543,            0.012952,            0.002476,            0.002476,            0.002476
                  78,            0.033967,            0.048314,            0.011475,             0.96331,             0.22857,             0.24864,             0.12376,            0.049524,            0.038562,            0.013016,            0.002377,            0.002377,            0.002377
                  79,            0.046465,            0.039604,            0.011779,             0.96228,             0.22688,             0.25093,             0.12808,            0.049032,            0.038412,            0.013026,            0.002278,            0.002278,            0.002278
                  80,            0.042185,            0.050255,            0.010917,              0.9592,             0.22688,             0.24903,             0.11405,             0.05268,            0.038556,            0.013015,            0.002179,            0.002179,            0.002179
                  81,            0.055988,             0.04798,            0.011448,             0.96788,             0.22829,             0.25602,             0.13642,            0.047517,            0.038075,            0.013035,             0.00208,             0.00208,             0.00208
                  82,            0.048163,            0.055287,            0.011459,             0.96581,             0.22945,             0.25585,             0.13658,             0.04703,            0.037958,            0.013018,            0.001981,            0.001981,            0.001981
                  83,            0.058795,            0.055512,            0.011634,             0.96677,             0.22765,             0.25421,             0.13352,             0.04693,            0.037844,            0.013011,            0.001882,            0.001882,            0.001882
                  84,             0.03067,            0.046603,            0.011689,             0.96438,             0.22734,             0.25324,             0.12838,            0.047111,            0.037896,            0.013009,            0.001783,            0.001783,            0.001783
                  85,            0.058138,            0.062447,            0.010801,             0.96604,             0.22816,             0.25729,             0.14036,            0.042776,            0.037447,            0.012968,            0.001684,            0.001684,            0.001684
                  86,            0.034719,            0.045041,            0.013021,              0.9678,             0.22867,             0.25888,             0.13763,            0.042456,            0.037452,            0.013004,            0.001585,            0.001585,            0.001585
                  87,            0.028741,             0.04903,            0.010451,             0.96659,              0.2282,             0.25852,              0.1377,            0.041771,            0.037467,            0.013013,            0.001486,            0.001486,            0.001486
                  88,            0.045287,            0.048935,            0.010547,             0.96552,              0.2297,             0.26031,             0.14133,            0.037077,            0.037273,             0.01307,            0.001387,            0.001387,            0.001387
                  89,            0.049644,            0.048243,            0.012506,             0.96699,             0.22945,             0.26042,             0.14387,            0.035261,            0.037179,            0.013095,            0.001288,            0.001288,            0.001288
                  90,            0.036813,            0.043306,            0.010864,              0.9657,             0.22945,             0.25961,             0.14209,             0.03524,            0.037112,             0.01311,            0.001189,            0.001189,            0.001189
                  91,            0.031449,            0.044262,            0.012495,             0.96787,             0.22919,             0.26141,             0.14388,            0.035096,            0.037082,            0.013139,             0.00109,             0.00109,             0.00109
                  92,            0.031185,            0.048381,           0.0093883,             0.96563,             0.22887,             0.26101,             0.13708,            0.034937,            0.037314,            0.013162,            0.000991,            0.000991,            0.000991
                  93,            0.034149,            0.047169,            0.010918,             0.96742,             0.22945,             0.26252,             0.14544,            0.033044,            0.037023,            0.013184,            0.000892,            0.000892,            0.000892
                  94,            0.036476,            0.039763,            0.014861,             0.96697,             0.22952,             0.26168,             0.14512,            0.032608,            0.037033,             0.01324,            0.000793,            0.000793,            0.000793
                  95,            0.031751,            0.053923,            0.010572,             0.96751,             0.22842,             0.26287,              0.1478,            0.032164,            0.036939,            0.013248,            0.000694,            0.000694,            0.000694
                  96,            0.033614,            0.045864,            0.010708,             0.96594,             0.22966,             0.26287,             0.14751,            0.031544,            0.036964,            0.013252,            0.000595,            0.000595,            0.000595
                  97,            0.033259,             0.04778,            0.013677,              0.9665,             0.22919,              0.2627,              0.1472,            0.031797,            0.036958,            0.013249,            0.000496,            0.000496,            0.000496
                  98,            0.028182,            0.046223,            0.011105,             0.96691,             0.22909,             0.26197,             0.14667,            0.032183,            0.036931,            0.013277,            0.000397,            0.000397,            0.000397
                  99,            0.040309,            0.043893,            0.010303,             0.96694,             0.22893,             0.26206,             0.14693,            0.032754,            0.036883,             0.01326,            0.000298,            0.000298,            0.000298
